BACKTEST SUMMARY
Pair,1HZ25V
Period,2026-03-12 19:30:00+00:00 to 2026-03-16 06:40:00+00:00
Total Signals,26
Win Rate,46.2%
Profit Factor,0.84
Total PnL (pips),-3570.51

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-03-13 12:15:00+00:00,SELL,B,7/10,876491.74000,878128.85438,874854.62562,873763.21603,2026-03-13 12:40:00+00:00,874854.62562,TP1,1637.11
2026-03-13 12:45:00+00:00,SELL,B,7/10,875977.14000,877634.62260,874319.65740,873214.66899,2026-03-13 14:25:00+00:00,877634.62260,SL,-1657.48
2026-03-13 17:45:00+00:00,BUY,B,7/10,880877.07000,879177.70167,882576.43833,883709.35055,2026-03-13 17:50:00+00:00,879177.70167,SL,-1699.37
2026-03-13 18:05:00+00:00,BUY,A,8/10,879529.32000,877868.41465,881190.22535,882297.49558,2026-03-13 18:25:00+00:00,881190.22535,TP1,1660.91
2026-03-13 18:45:00+00:00,BUY,B,7/10,881100.49000,879540.18661,882660.79339,883700.99566,2026-03-13 19:00:00+00:00,879540.18661,SL,-1560.30
2026-03-14 00:30:00+00:00,SELL,A,8/10,878325.43000,879684.95661,876965.90339,876059.55232,2026-03-14 00:55:00+00:00,876965.90339,TP1,1359.53
2026-03-14 01:10:00+00:00,SELL,B,7/10,877343.00000,878748.28992,875937.71008,875000.85013,2026-03-14 01:30:00+00:00,875937.71008,TP1,1405.29
2026-03-14 02:05:00+00:00,SELL,B,7/10,876503.90000,877988.07953,875019.72047,874030.26745,2026-03-14 02:10:00+00:00,877988.07953,SL,-1484.18
2026-03-14 02:25:00+00:00,SELL,A,8/10,877815.25000,879321.80121,876308.69879,875304.33131,2026-03-14 03:00:00+00:00,876308.69879,TP1,1506.55
2026-03-14 04:40:00+00:00,SELL,B,7/10,874940.85000,876388.00394,873493.69606,872528.92677,2026-03-14 05:00:00+00:00,876388.00394,SL,-1447.15
2026-03-14 05:00:00+00:00,SELL,A,8/10,875695.87000,877183.51138,874208.22862,873216.46770,2026-03-14 06:30:00+00:00,877183.51138,SL,-1487.64
2026-03-14 10:15:00+00:00,SELL,B,7/10,871131.90000,872662.22154,869601.57846,868581.36410,2026-03-14 10:25:00+00:00,869601.57846,TP1,1530.32
2026-03-14 11:15:00+00:00,SELL,B,7/10,869574.47000,871198.14530,867950.79470,866868.34450,2026-03-14 11:20:00+00:00,867950.79470,TP1,1623.68
2026-03-14 11:55:00+00:00,SELL,A+,9/10,869226.37000,870873.14932,867579.59068,866481.73780,2026-03-14 12:55:00+00:00,867579.59068,TP1,1646.78
2026-03-15 03:30:00+00:00,SELL,A+,9/10,860998.03000,862529.72137,859466.33863,858445.21105,2026-03-15 03:45:00+00:00,859466.33863,TP1,1531.69
2026-03-15 04:00:00+00:00,SELL,A,8/10,860110.68000,861701.65260,858519.70740,857459.05900,2026-03-15 04:30:00+00:00,861701.65260,SL,-1590.97
2026-03-15 04:30:00+00:00,SELL,A,8/10,861579.78000,863232.60501,859926.95499,858825.07166,2026-03-15 04:40:00+00:00,863232.60501,SL,-1652.83
2026-03-15 04:50:00+00:00,SELL,B,7/10,862462.54000,864201.52962,860723.55038,859564.22397,2026-03-15 05:10:00+00:00,864201.52962,SL,-1738.99
2026-03-15 05:20:00+00:00,SELL,B,7/10,861650.49000,863395.43042,859905.54958,858742.25596,2026-03-15 06:10:00+00:00,863395.43042,SL,-1744.94
2026-03-15 07:40:00+00:00,BUY,B,7/10,863630.19000,862024.32909,865236.05091,866306.62486,2026-03-15 09:15:00+00:00,862024.32909,SL,-1605.86
2026-03-15 11:15:00+00:00,SELL,A,8/10,864661.63000,866269.72736,863053.53264,861981.46774,2026-03-15 11:35:00+00:00,863053.53264,TP1,1608.10
2026-03-15 20:30:00+00:00,BUY,B,7/10,869050.70000,867542.41840,870558.98160,871564.50267,2026-03-15 21:20:00+00:00,867542.41840,SL,-1508.28
2026-03-15 21:20:00+00:00,BUY,B,7/10,867302.17000,865755.10674,868849.23326,869880.60877,2026-03-15 21:25:00+00:00,865755.10674,SL,-1547.06
2026-03-16 02:25:00+00:00,SELL,B,7/10,861214.13000,862843.59220,859584.66780,858498.35967,2026-03-16 03:20:00+00:00,859584.66780,TP1,1629.46
2026-03-16 04:55:00+00:00,SELL,A,8/10,856129.41000,857742.08403,854516.73597,853441.61995,2026-03-16 05:20:00+00:00,854516.73597,TP1,1612.67
2026-03-16 05:20:00+00:00,SELL,B,7/10,854858.46000,856455.99701,853260.92299,852195.89831,2026-03-16 05:40:00+00:00,856455.99701,SL,-1597.54
