BACKTEST SUMMARY
Pair,BOOM1000
Period,2025-10-01 00:00:00+00:00 to 2026-03-16 08:00:00+00:00
Total Signals,12
Win Rate,41.7%
Profit Factor,0.75
Total PnL (pips),-400.41

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-12-08 00:00:00+00:00,BUY,B,7/12,16109.36600,15881.30021,16337.43179,16565.49758,2025-12-10 20:00:00+00:00,16337.43179,TP1,228.07
2025-12-11 16:00:00+00:00,BUY,B,7/12,16471.37200,16240.42556,16702.31844,16933.26489,2025-12-12 08:00:00+00:00,16702.31844,TP1,230.95
2025-12-14 04:00:00+00:00,BUY,B,7/12,16904.22500,16663.97947,17144.47053,17384.71605,2025-12-14 16:00:00+00:00,16663.97947,SL,-240.25
2025-12-14 20:00:00+00:00,BUY,B,7/12,16660.39100,16421.23751,16899.54449,17138.69797,2025-12-15 08:00:00+00:00,16899.54449,TP1,239.15
2025-12-16 00:00:00+00:00,BUY,B,8/12,17119.67000,16856.32339,17383.01661,17646.36321,2025-12-17 16:00:00+00:00,17383.01661,TP1,263.35
2025-12-18 04:00:00+00:00,BUY,B,7/12,17088.85500,16829.05198,17348.65802,17608.46104,2025-12-18 12:00:00+00:00,17348.65802,TP1,259.80
2025-12-19 08:00:00+00:00,BUY,B,7/12,17140.63600,16882.69038,17398.58162,17656.52723,2025-12-20 00:00:00+00:00,16882.69038,SL,-257.95
2025-12-20 00:00:00+00:00,BUY,B,7/12,16855.97900,16610.45769,17101.50031,17347.02162,2025-12-20 12:00:00+00:00,16610.45769,SL,-245.52
2025-12-22 04:00:00+00:00,BUY,B,8/12,16866.72500,16611.23391,17122.21609,17377.70719,2025-12-24 12:00:00+00:00,16611.23391,SL,-255.49
2026-01-02 00:00:00+00:00,BUY,B,7/12,17129.69200,16904.43133,17354.95267,17580.21333,2026-01-05 04:00:00+00:00,16904.43133,SL,-225.26
2026-01-05 04:00:00+00:00,BUY,B,7/12,16842.83200,16645.26346,17040.40054,17237.96908,2026-01-05 12:00:00+00:00,16645.26346,SL,-197.57
2026-02-09 04:00:00+00:00,BUY,B,7/12,15632.37100,15432.67972,15832.06228,16031.75357,2026-02-12 08:00:00+00:00,15432.67972,SL,-199.69
