BACKTEST SUMMARY
Pair,BOOM500
Period,2025-10-01 00:00:00+00:00 to 2026-03-16 08:00:00+00:00
Total Signals,21
Win Rate,52.4%
Profit Factor,1.05
Total PnL (pips),56.38

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-11 20:00:00+00:00,BUY,B,7/12,5984.61500,5859.47606,6109.75394,6234.89287,2025-11-13 20:00:00+00:00,6109.75394,TP1,125.14
2025-11-14 20:00:00+00:00,BUY,B,7/12,6060.20300,5941.45613,6178.94987,6297.69675,2025-11-17 12:00:00+00:00,5941.45613,SL,-118.75
2025-11-17 20:00:00+00:00,BUY,B,8/12,5871.32200,5753.87085,5988.77315,6106.22431,2025-11-20 20:00:00+00:00,5753.87085,SL,-117.45
2025-12-03 04:00:00+00:00,BUY,B,8/12,5870.93200,5765.82583,5976.03817,6081.14434,2025-12-03 20:00:00+00:00,5976.03817,TP1,105.11
2025-12-03 20:00:00+00:00,BUY,B,8/12,5972.12500,5864.47183,6079.77817,6187.43135,2025-12-05 00:00:00+00:00,6079.77817,TP1,107.65
2025-12-05 00:00:00+00:00,BUY,B,8/12,6178.19700,6057.26760,6299.12640,6420.05580,2025-12-05 20:00:00+00:00,6057.26760,SL,-120.93
2025-12-06 00:00:00+00:00,BUY,B,7/12,6106.78000,5973.44061,6240.11939,6373.45878,2025-12-08 12:00:00+00:00,5973.44061,SL,-133.34
2025-12-08 12:00:00+00:00,BUY,B,7/12,5969.58600,5850.10175,6089.07025,6208.55449,2025-12-12 04:00:00+00:00,6089.07025,TP1,119.48
2025-12-13 00:00:00+00:00,BUY,B,8/12,6158.54100,6034.63834,6282.44366,6406.34631,2025-12-13 08:00:00+00:00,6282.44366,TP1,123.90
2025-12-14 04:00:00+00:00,BUY,B,8/12,6353.80900,6217.29276,6490.32524,6626.84148,2025-12-15 20:00:00+00:00,6490.32524,TP1,136.52
2025-12-16 08:00:00+00:00,BUY,B,8/12,6524.14400,6404.85568,6643.43232,6762.72065,2025-12-17 08:00:00+00:00,6404.85568,SL,-119.29
2025-12-17 08:00:00+00:00,BUY,B,7/12,6343.07100,6214.46431,6471.67769,6600.28439,2025-12-18 08:00:00+00:00,6214.46431,SL,-128.61
2025-12-18 08:00:00+00:00,BUY,B,7/12,6185.50300,6062.37991,6308.62609,6431.74918,2025-12-20 16:00:00+00:00,6062.37991,SL,-123.12
2025-12-22 00:00:00+00:00,BUY,B,7/12,5944.68700,5841.03147,6048.34253,6151.99805,2025-12-22 16:00:00+00:00,6048.34253,TP1,103.66
2026-02-09 04:00:00+00:00,BUY,B,7/12,5387.89600,5279.89640,5495.89560,5603.89520,2026-02-09 16:00:00+00:00,5495.89560,TP1,108.00
2026-02-10 12:00:00+00:00,BUY,B,7/12,5341.58900,5234.15352,5449.02448,5556.45997,2026-02-12 04:00:00+00:00,5449.02448,TP1,107.44
2026-02-12 04:00:00+00:00,BUY,B,8/12,5444.78800,5341.96083,5547.61517,5650.44234,2026-02-13 08:00:00+00:00,5341.96083,SL,-102.83
2026-02-13 08:00:00+00:00,BUY,B,7/12,5349.98200,5245.66856,5454.29544,5558.60888,2026-02-16 04:00:00+00:00,5454.29544,TP1,104.31
2026-02-17 08:00:00+00:00,BUY,B,8/12,5536.40500,5431.53963,5641.27037,5746.13575,2026-02-18 20:00:00+00:00,5431.53963,SL,-104.87
2026-02-19 00:00:00+00:00,BUY,B,7/12,5382.20100,5278.02201,5486.37999,5590.55897,2026-02-21 08:00:00+00:00,5486.37999,TP1,104.18
2026-02-25 08:00:00+00:00,BUY,B,7/12,5606.85100,5487.01935,5726.68265,5846.51430,2026-03-01 20:00:00+00:00,5487.01935,SL,-119.83
