BACKTEST SUMMARY
Pair,CRASH500
Period,2025-10-01 00:00:00+00:00 to 2026-03-16 08:00:00+00:00
Total Signals,23
Win Rate,43.5%
Profit Factor,0.83
Total PnL (pips),-141.42

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-09 12:00:00+00:00,SELL,B,7/12,3198.41800,3255.05965,3141.77635,3085.13469,2025-11-10 20:00:00+00:00,3141.77635,TP1,56.64
2025-11-11 16:00:00+00:00,SELL,B,7/12,3063.66800,3125.05895,3002.27705,2940.88610,2025-11-12 08:00:00+00:00,3125.05895,SL,-61.39
2025-11-12 20:00:00+00:00,SELL,B,7/12,3094.26500,3152.97664,3035.55336,2976.84173,2025-11-13 20:00:00+00:00,3152.97664,SL,-58.71
2025-11-14 12:00:00+00:00,SELL,B,7/12,3224.18800,3285.17635,3163.19965,3102.21129,2025-11-17 00:00:00+00:00,3285.17635,SL,-60.99
2025-11-27 12:00:00+00:00,SELL,B,8/12,3141.17500,3199.63148,3082.71852,3024.26204,2025-11-28 00:00:00+00:00,3082.71852,TP1,58.46
2025-11-28 04:00:00+00:00,SELL,B,7/12,3128.70100,3192.35710,3065.04490,3001.38881,2025-12-01 12:00:00+00:00,3192.35710,SL,-63.66
2025-12-09 12:00:00+00:00,SELL,A,9/12,3179.20100,3239.68065,3118.72135,3058.24171,2025-12-14 00:00:00+00:00,3239.68065,SL,-60.48
2026-01-05 20:00:00+00:00,SELL,B,7/12,3531.59600,3607.34408,3455.84792,3380.09984,2026-01-07 04:00:00+00:00,3607.34408,SL,-75.75
2026-01-07 20:00:00+00:00,SELL,B,7/12,3507.45400,3583.49727,3431.41073,3355.36746,2026-01-11 00:00:00+00:00,3431.41073,TP1,76.04
2026-01-11 00:00:00+00:00,SELL,B,7/12,3416.25000,3489.76337,3342.73663,3269.22326,2026-01-12 08:00:00+00:00,3342.73663,TP1,73.51
2026-01-12 08:00:00+00:00,SELL,B,8/12,3347.29900,3423.63151,3270.96649,3194.63398,2026-01-14 00:00:00+00:00,3270.96649,TP1,76.33
2026-01-14 12:00:00+00:00,SELL,B,7/12,3358.50200,3429.69190,3287.31210,3216.12220,2026-01-16 08:00:00+00:00,3287.31210,TP1,71.19
2026-01-18 00:00:00+00:00,SELL,B,8/12,3108.24200,3180.94226,3035.54174,2962.84148,2026-01-19 12:00:00+00:00,3035.54174,TP1,72.70
2026-01-20 20:00:00+00:00,SELL,B,7/12,3084.14400,3146.10083,3022.18717,2960.23033,2026-01-22 20:00:00+00:00,3146.10083,SL,-61.96
2026-01-22 20:00:00+00:00,SELL,B,7/12,3164.67400,3223.26189,3106.08611,3047.49823,2026-01-25 16:00:00+00:00,3106.08611,TP1,58.59
2026-01-25 20:00:00+00:00,SELL,B,7/12,3100.64000,3161.85697,3039.42303,2978.20606,2026-01-27 16:00:00+00:00,3039.42303,TP1,61.22
2026-01-27 16:00:00+00:00,SELL,B,8/12,3041.71100,3109.19312,2974.22888,2906.74677,2026-01-29 04:00:00+00:00,3109.19312,SL,-67.48
2026-01-29 04:00:00+00:00,SELL,B,8/12,3122.84500,3187.33061,3058.35939,2993.87379,2026-01-30 04:00:00+00:00,3187.33061,SL,-64.49
2026-02-10 04:00:00+00:00,SELL,B,8/12,3161.79600,3225.09454,3098.49746,3035.19892,2026-02-10 16:00:00+00:00,3098.49746,TP1,63.30
2026-02-19 00:00:00+00:00,SELL,B,7/12,3106.16300,3163.52811,3048.79789,2991.43277,2026-02-24 20:00:00+00:00,3163.52811,SL,-57.37
2026-03-02 16:00:00+00:00,SELL,B,7/12,3037.04000,3096.49042,2977.58958,2918.13916,2026-03-04 00:00:00+00:00,3096.49042,SL,-59.45
2026-03-07 20:00:00+00:00,SELL,B,8/12,2935.47800,2995.75163,2875.20437,2814.93074,2026-03-11 04:00:00+00:00,2995.75163,SL,-60.27
2026-03-11 04:00:00+00:00,SELL,B,7/12,2986.82400,3044.24061,2929.40739,2871.99078,2026-03-14 08:00:00+00:00,3044.24061,SL,-57.42
