BACKTEST SUMMARY
Pair,R_100
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,64
Win Rate,53.1%
Profit Factor,1.17
Total PnL (pips),209.88

TRADES
Entry Time,Direction,Grade,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-06 16:00:00+00:00,SELL,A+,841.94000,888.50742,795.37258,748.80515,2025-11-07 16:00:00+00:00,888.50742,SL,-46.57
2025-11-07 16:00:00+00:00,SELL,A+,863.56000,906.81960,820.30040,777.04081,2025-11-09 08:00:00+00:00,906.81960,SL,-43.26
2025-11-09 08:00:00+00:00,SELL,A+,887.09000,928.37117,845.80883,804.52766,2025-11-09 16:00:00+00:00,845.80883,TP1,41.28
2025-11-10 00:00:00+00:00,SELL,A+,860.88000,904.06020,817.69980,774.51961,2025-11-10 08:00:00+00:00,817.69980,TP1,43.18
2025-11-10 16:00:00+00:00,SELL,A+,853.97000,895.71903,812.22097,770.47194,2025-11-11 00:00:00+00:00,812.22097,TP1,41.75
2025-11-11 08:00:00+00:00,SELL,A+,818.38000,858.74862,778.01138,737.64277,2025-11-13 12:00:00+00:00,858.74862,SL,-40.37
2025-11-13 12:00:00+00:00,SELL,A+,860.33000,899.88306,820.77694,781.22389,2025-11-15 00:00:00+00:00,899.88306,SL,-39.55
2025-11-16 16:00:00+00:00,SELL,A+,846.06000,890.43609,801.68391,757.30781,2025-11-17 04:00:00+00:00,890.43609,SL,-44.38
2025-11-17 08:00:00+00:00,SELL,A+,882.48000,927.45991,837.50009,792.52018,2025-11-19 00:00:00+00:00,927.45991,SL,-44.98
2025-11-21 20:00:00+00:00,SELL,A+,829.24000,871.78020,786.69980,744.15961,2025-11-23 16:00:00+00:00,871.78020,SL,-42.54
2025-11-23 16:00:00+00:00,SELL,A+,874.84000,915.29412,834.38588,793.93175,2025-11-24 04:00:00+00:00,834.38588,TP1,40.45
2025-11-24 08:00:00+00:00,SELL,A+,852.02000,894.05607,809.98393,767.94787,2025-11-24 12:00:00+00:00,809.98393,TP1,42.04
2025-11-25 08:00:00+00:00,SELL,A+,793.31000,837.79999,748.82001,704.33002,2025-11-27 12:00:00+00:00,748.82001,TP1,44.49
2025-11-28 00:00:00+00:00,SELL,A+,751.37000,791.29016,711.44984,671.52968,2025-11-29 08:00:00+00:00,711.44984,TP1,39.92
2025-12-02 08:00:00+00:00,SELL,A+,637.93000,673.44671,602.41329,566.89659,2025-12-03 16:00:00+00:00,673.44671,SL,-35.52
2025-12-03 16:00:00+00:00,SELL,A+,673.14000,707.71650,638.56350,603.98700,2025-12-04 16:00:00+00:00,707.71650,SL,-34.58
2025-12-07 20:00:00+00:00,SELL,A+,651.78000,684.69780,618.86220,585.94440,2025-12-09 12:00:00+00:00,618.86220,TP1,32.92
2025-12-10 16:00:00+00:00,SELL,A+,617.08000,650.89573,583.26427,549.44853,2025-12-11 16:00:00+00:00,583.26427,TP1,33.82
2025-12-14 16:00:00+00:00,SELL,A+,536.22000,561.47041,510.96959,485.71917,2025-12-15 00:00:00+00:00,561.47041,SL,-25.25
2025-12-15 08:00:00+00:00,SELL,A+,573.01000,599.15248,546.86752,520.72505,2025-12-16 04:00:00+00:00,599.15248,SL,-26.14
2025-12-26 04:00:00+00:00,BUY,A+,774.16000,735.19106,813.12894,852.09788,2025-12-26 12:00:00+00:00,813.12894,TP1,38.97
2025-12-26 20:00:00+00:00,BUY,A+,770.79000,730.14979,811.43021,852.07041,2025-12-27 16:00:00+00:00,730.14979,SL,-40.64
2025-12-27 16:00:00+00:00,BUY,A+,732.59000,693.02597,772.15403,811.71806,2025-12-28 04:00:00+00:00,693.02597,SL,-39.56
2025-12-30 16:00:00+00:00,SELL,A+,680.78000,717.97570,643.58430,606.38861,2025-12-31 00:00:00+00:00,717.97570,SL,-37.20
2025-12-31 08:00:00+00:00,SELL,A+,685.79000,724.84257,646.73743,607.68487,2026-01-01 04:00:00+00:00,724.84257,SL,-39.05
2026-01-01 20:00:00+00:00,BUY,A+,710.32000,671.78264,748.85736,787.39472,2026-01-03 00:00:00+00:00,748.85736,TP1,38.54
2026-01-03 00:00:00+00:00,BUY,A+,741.82000,703.99626,779.64374,817.46749,2026-01-03 12:00:00+00:00,779.64374,TP1,37.82
2026-01-05 04:00:00+00:00,BUY,A+,766.15000,727.48518,804.81482,843.47965,2026-01-08 20:00:00+00:00,804.81482,TP1,38.66
2026-01-10 20:00:00+00:00,BUY,A+,883.38000,840.41413,926.34587,969.31174,2026-01-11 04:00:00+00:00,926.34587,TP1,42.97
2026-01-15 00:00:00+00:00,BUY,A+,1049.73000,1002.82922,1096.63078,1143.53157,2026-01-15 16:00:00+00:00,1002.82922,SL,-46.90
2026-01-15 16:00:00+00:00,BUY,A+,991.55000,942.95028,1040.14972,1088.74944,2026-01-16 00:00:00+00:00,1040.14972,TP1,48.60
2026-01-16 08:00:00+00:00,BUY,A+,1062.56000,1014.38843,1110.73157,1158.90315,2026-01-17 00:00:00+00:00,1110.73157,TP1,48.17
