BACKTEST SUMMARY
Pair,R_10
Period,2026-02-02 07:00:00+00:00 to 2026-03-15 21:00:00+00:00
Total Signals,15
Win Rate,66.7%
Profit Factor,2.12
Total PnL (pips),75.10

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-10 15:00:00+00:00,SELL,A,7/9,5344.24000,5358.49782,5329.98218,5320.47696,2026-02-10 23:00:00+00:00,5329.98218,TP1,14.26
2026-02-14 22:00:00+00:00,SELL,A,7/9,5226.47400,5240.40905,5212.53895,5203.24891,2026-02-15 05:00:00+00:00,5212.53895,TP1,13.94
2026-02-15 11:00:00+00:00,SELL,A,7/9,5215.22100,5229.64101,5200.80099,5191.18765,2026-02-15 15:00:00+00:00,5200.80099,TP1,14.42
2026-02-15 17:00:00+00:00,SELL,A,7/9,5212.13800,5226.79574,5197.48026,5187.70844,2026-02-15 21:00:00+00:00,5197.48026,TP1,14.66
2026-02-16 09:00:00+00:00,SELL,A,7/9,5204.67000,5217.31866,5192.02134,5183.58891,2026-02-16 12:00:00+00:00,5192.02134,TP1,12.65
2026-02-17 10:00:00+00:00,SELL,A,7/9,5165.12400,5178.44182,5151.80618,5142.92764,2026-02-17 12:00:00+00:00,5142.92764,TP2,22.20
2026-02-18 15:00:00+00:00,SELL,A,7/9,5128.08300,5141.90296,5114.26304,5105.04973,2026-02-18 20:00:00+00:00,5141.90296,SL,-13.82
2026-02-21 15:00:00+00:00,SELL,A,7/9,5096.12700,5107.85052,5084.40348,5076.58781,2026-02-21 19:00:00+00:00,5084.40348,TP1,11.72
2026-02-22 17:00:00+00:00,SELL,A,7/9,5062.61600,5075.78004,5049.45196,5040.67593,2026-02-22 19:00:00+00:00,5075.78004,SL,-13.16
2026-02-22 21:00:00+00:00,SELL,A,7/9,5068.59100,5081.88425,5055.29775,5046.43559,2026-02-23 03:00:00+00:00,5055.29775,TP1,13.29
2026-02-24 22:00:00+00:00,SELL,A,7/9,5046.21700,5058.28246,5034.15154,5026.10789,2026-02-25 02:00:00+00:00,5034.15154,TP1,12.07
2026-02-25 06:00:00+00:00,SELL,A,7/9,5043.44600,5057.37298,5029.51902,5020.23437,2026-02-25 11:00:00+00:00,5057.37298,SL,-13.93
2026-03-05 14:00:00+00:00,BUY,A,7/9,5080.18200,5066.92627,5093.43773,5102.27488,2026-03-05 18:00:00+00:00,5066.92627,SL,-13.26
2026-03-05 19:00:00+00:00,BUY,A,7/9,5068.83100,5055.85464,5081.80736,5090.45827,2026-03-06 01:00:00+00:00,5081.80736,TP1,12.98
2026-03-06 01:00:00+00:00,BUY,A,7/9,5077.27000,5064.36188,5090.17812,5098.78353,2026-03-06 14:00:00+00:00,5064.36188,SL,-12.91
