BACKTEST SUMMARY
Pair,R_25
Period,2026-02-02 23:00:00+00:00 to 2026-03-16 13:00:00+00:00
Total Signals,2
Win Rate,50.0%
Profit Factor,0.90
Total PnL (pips),-2.01

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-14 10:00:00+00:00,BUY,A,8/10,2824.59400,2807.00584,2842.18216,2853.90761,2026-02-14 20:00:00+00:00,2842.18216,TP1,17.59
2026-03-02 02:00:00+00:00,BUY,A,8/10,2932.99700,2913.40148,2952.59252,2965.65620,2026-03-02 09:00:00+00:00,2913.40148,SL,-19.60
