BACKTEST SUMMARY
Pair,R_50
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,54
Win Rate,48.1%
Profit Factor,0.97
Total PnL (pips),-4.99

TRADES
Entry Time,Direction,Grade,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-08 04:00:00+00:00,BUY,A+,136.66430,133.30748,140.02112,143.37793,2025-11-08 12:00:00+00:00,140.02112,TP1,3.36
2025-11-08 20:00:00+00:00,BUY,A+,137.01770,133.68304,140.35236,143.68702,2025-11-11 00:00:00+00:00,133.68304,SL,-3.33
2025-11-11 00:00:00+00:00,BUY,A+,133.39430,129.97905,136.80955,140.22481,2025-11-11 08:00:00+00:00,136.80955,TP1,3.42
2025-11-11 16:00:00+00:00,BUY,A+,135.00340,131.31647,138.69033,142.37726,2025-11-12 12:00:00+00:00,131.31647,SL,-3.69
2025-11-13 12:00:00+00:00,BUY,A+,139.16850,135.44974,142.88726,146.60603,2025-11-14 20:00:00+00:00,142.88726,TP1,3.72
2025-11-16 12:00:00+00:00,BUY,A+,145.44440,141.65838,149.23042,153.01644,2025-11-18 00:00:00+00:00,149.23042,TP1,3.79
2025-11-19 12:00:00+00:00,BUY,A+,150.43270,146.56702,154.29838,158.16405,2025-11-20 00:00:00+00:00,146.56702,SL,-3.87
2025-11-20 04:00:00+00:00,BUY,A+,144.40530,140.63546,148.17514,151.94497,2025-11-24 12:00:00+00:00,148.17514,TP1,3.77
2025-11-25 04:00:00+00:00,BUY,A+,147.56610,143.65461,151.47759,155.38907,2025-11-25 12:00:00+00:00,143.65461,SL,-3.91
2025-12-05 04:00:00+00:00,SELL,A+,135.68980,139.03251,132.34709,129.00438,2025-12-06 04:00:00+00:00,139.03251,SL,-3.34
2025-12-08 04:00:00+00:00,BUY,A+,142.50970,139.07644,145.94296,149.37623,2025-12-08 16:00:00+00:00,139.07644,SL,-3.43
2025-12-10 20:00:00+00:00,SELL,A+,134.78360,138.02588,131.54132,128.29905,2025-12-11 16:00:00+00:00,138.02588,SL,-3.24
2025-12-11 16:00:00+00:00,SELL,A+,137.95870,141.13221,134.78519,131.61167,2025-12-11 20:00:00+00:00,134.78519,TP1,3.17
2025-12-15 00:00:00+00:00,BUY,A+,140.55820,137.03655,144.07985,147.60151,2025-12-15 16:00:00+00:00,144.07985,TP1,3.52
2025-12-15 16:00:00+00:00,BUY,A+,142.31350,138.85026,145.77674,149.23998,2025-12-17 00:00:00+00:00,138.85026,SL,-3.46
2025-12-17 04:00:00+00:00,BUY,A+,140.36980,137.05699,143.68261,146.99542,2025-12-17 12:00:00+00:00,137.05699,SL,-3.31
2025-12-20 20:00:00+00:00,SELL,A+,129.66890,133.16031,126.17749,122.68608,2025-12-22 12:00:00+00:00,126.17749,TP1,3.49
2025-12-22 20:00:00+00:00,SELL,A+,127.99090,131.30595,124.67585,121.36079,2025-12-24 00:00:00+00:00,131.30595,SL,-3.32
2025-12-24 00:00:00+00:00,SELL,A+,130.35440,133.41794,127.29086,124.22732,2025-12-25 12:00:00+00:00,133.41794,SL,-3.06
2025-12-30 20:00:00+00:00,SELL,A+,129.37370,132.56010,126.18730,123.00090,2025-12-31 08:00:00+00:00,132.56010,SL,-3.19
2025-12-31 12:00:00+00:00,SELL,A+,133.58750,136.85853,130.31647,127.04544,2025-12-31 20:00:00+00:00,130.31647,TP1,3.27
2026-01-01 04:00:00+00:00,SELL,A+,130.55700,133.84165,127.27235,123.98769,2026-01-02 04:00:00+00:00,127.27235,TP1,3.28
2026-01-02 08:00:00+00:00,SELL,A+,127.68330,131.05331,124.31329,120.94328,2026-01-06 16:00:00+00:00,131.05331,SL,-3.37
