BACKTEST SUMMARY
Pair,R_50
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,49
Win Rate,44.9%
Profit Factor,0.82
Total PnL (pips),-14.57

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-09 08:00:00+00:00,BUY,B,6/9,136.75490,133.34417,140.16563,142.43945,2025-11-11 00:00:00+00:00,133.34417,SL,-3.41
2025-11-11 04:00:00+00:00,BUY,B,6/9,135.06710,131.57760,138.55660,140.88293,2025-11-11 12:00:00+00:00,138.55660,TP1,3.49
2025-11-16 16:00:00+00:00,BUY,B,6/9,144.84240,141.13004,148.55476,151.02966,2025-11-18 00:00:00+00:00,148.55476,TP1,3.71
2025-11-19 12:00:00+00:00,BUY,B,6/9,150.43270,146.56702,154.29838,156.87549,2025-11-20 00:00:00+00:00,146.56702,SL,-3.87
2025-11-20 16:00:00+00:00,BUY,B,6/9,146.05340,142.17413,149.93267,152.51886,2025-11-22 00:00:00+00:00,142.17413,SL,-3.88
2025-11-22 20:00:00+00:00,BUY,B,6/9,146.14600,142.32211,149.96989,152.51915,2025-11-24 12:00:00+00:00,149.96989,TP1,3.82
2025-11-24 20:00:00+00:00,BUY,B,6/9,151.19340,147.44629,154.94051,157.43858,2025-11-25 04:00:00+00:00,147.44629,SL,-3.75
2025-11-25 12:00:00+00:00,BUY,B,6/9,142.27200,138.10273,146.44127,149.22078,2025-11-26 00:00:00+00:00,138.10273,SL,-4.17
2025-11-30 08:00:00+00:00,BUY,B,6/9,141.66620,138.21023,145.12217,147.42614,2025-11-30 16:00:00+00:00,138.21023,SL,-3.46
2025-12-05 12:00:00+00:00,SELL,B,6/9,137.40340,140.74452,134.06228,131.83487,2025-12-06 16:00:00+00:00,140.74452,SL,-3.34
2025-12-09 12:00:00+00:00,SELL,B,6/9,132.74510,136.15053,129.33967,127.06938,2025-12-11 12:00:00+00:00,136.15053,SL,-3.41
